,contacts,lat,lon
0,"fts@ca.customs.ru
 (499) 449-73-00
 (499) 449-72-35
 Телефон доверия: (499) 449-79-97, приемная ФТС России: (499) 449-77-71, (499) 449-72-35
 http://customs.ru",55.749967,37.507628
1,"VNUK_ODO@ca.customs.ru
 (495) 285-65-77
 (495) 736-90-27
 Дежурная служба: (495) 285-65-27; Информирование и консультирование по вопросам таможенного дела: (495) 285-65-17; Информирование и консультирование по вопросам таможенного дела: (495) 285-65-62
 http://vnk.customs.ru/",55.609497,37.288717
2,"(495) 436-78-86
 http://vnk.customs.ru/",55.60369,37.290379
3,"(495) 662-68-02
 http://vnk.customs.ru/",55.607839,37.282357
4,"(495) 736-90-18
 http://vnk.customs.ru/",55.603863,37.292131
5,"domodedovo@ca.eais.customs.ru
 (495) 787-86-04, (495) 258-53-71
 (495) 967-83-52, (495) 258-53-61ф, (495) 967-83-93 доб. 2-80-52
 Телефон доверия: (495) 276-06-54, Информирование и консультирование по вопросам таможенного дела: (495) 276-06-98 (автоинформатор), Пресс-служба: (495) 276-03-29
 http://domodedovo.customs.ru/",55.398472,37.770097
6,"(495) 276-09-52
 http://domodedovo.customs.ru/",55.414348,37.900479
7,"(495) 556-51-06
 http://domodedovo.customs.ru/",55.578345,38.110478
8,"(495) 745-42-30
 http://domodedovo.customs.ru/",55.887064,38.041604
9,"(495) 787-16-69
 http://domodedovo.customs.ru/",55.414348,37.900479
10,"SHEREMETYEVO_ODS@ca.customs.ru
 (495) 538-76-00
 (495) 538-72-29
 Дежурная служба: (495) 538-72-29; Пресс-секретарь: (495) 538-72-78; Телефон доверия: (495) 538-73-42; Обращение граждан: (495) 538-76-68
 http://sh.customs.ru",55.985373,37.431262
11,"(495) 538-76-78
 http://sh.customs.ru",55.888755,37.430337
12,"(495) 538-76-13
 http://sh.customs.ru",55.888755,37.430337
13,"SHER_CED@ca.customs.ru
 (499) 728-72-01
 http://sh.customs.ru",55.969446,37.435672
14,"SHER_POCHT@ca.customs.ru
 (495) 956-99-64 доб. 5035
 http://sh.customs.ru",55.971204,37.413673
15,"ENERGY_ODO@ca.customs.ru
 (495) 637-77-22
 (495) 637-28-58, (495) 637-77-22, (495) 651-97-41
 Телефон доверия: (495) 637-27-55, Специалист по связям с общественностью: (495) 637-12-19, Телефон для получения консультации и информирования
в области таможенного законодательства: (495) 637-36-88
 http://cet.customs.ru/",55.743015,37.597378
16,"ENERGY_YTK1@ca.customs.ru
 (8617) 60-30-61
 (8617) 60-31-21
 http://cet.customs.ru/",44.713324,37.847954
17,"ENERGY_neft@ca.customs.ru
 (495) 637-77-17
 http://cet.customs.ru/",55.743015,37.597378
18,"BragaVV@ca.customs.ru
 (81378) 6-50-50
 (81378) 6-50-51
 http://cet.customs.ru/",60.341121,28.727871
19,"GadzhievMG@ca.customs.ru
 (499) 940-14-26
 (499) 940-10-28
 http://cet.customs.ru/",55.743015,37.597378
20,"ShihshabekovRS@ca.customs.ru
 (8722) 70-01-56
 (8722) 70-01-57
 http://cet.customs.ru/",42.98306,47.504682
21,"TimashevAV@ca.customs.ru
 (4236) 62-46-18
 (4236) 62-07-60
 http://cet.customs.ru/",42.824037,132.892811
22,"MinkinME@ca.customs.ru
 (81533) 4-00-29
 (81533) 7-20-21
 http://cet.customs.ru/",67.180282,32.43582
23,"KochegarovEA@ca.customs.ru
 (84012) 68-90-28
 (84012) 68-90-21
 http://cet.customs.ru/",54.697219,20.46709
24,"VelikotnovaTV@ca.customs.ru
 (8512) 64-08-38
 (8512) 64-08-30
 http://cet.customs.ru/",46.353909,48.042737
25,"AndreyanovON@ca.customs.ru
 (4912) 93-33-05
 http://cet.customs.ru/",54.754329,39.839708
