,STRANA,STOIM,NETTO,alpha3
0,AB,163986575.49,109805255.24,
1,AE,7230675.9,3421216.62,ARE
2,AI,3107.67,285.98,AIA
3,AL,15484.8,6882.24,ALB
4,AM,500972489.88,214768429.92,ARM
5,AR,48974803.54,40318276.11,ARG
6,AT,12906647.27,5805740.75,AUT
7,AU,38384720.7,30639945.3,AUS
8,AX,142.32,11.9,ALA
9,AZ,102923722.52,55172193.37,AZE
10,BA,79980.13,11843.06,BIH
11,BB,819456.01,109141.85,BRB
12,BE,51305360.94,37131181.57,BEL
13,BF,12086.96,26324.24,BFA
14,BG,66508563.38,75754207.41,BGR
15,BH,1189081.46,1694744.87,BHR
16,BI,23758.4,66523.52,BDI
17,BJ,36087.6,59654.91,BEN
18,BM,542997.28,66652.62,BMU
19,BR,11885080.36,16416930.53,BRA
20,BS,4604336.87,642481.72,BHS
21,BY,256286251.47,548460410.89,BLR
22,CA,29739462.02,16106847.71,CAN
23,CD,43109.04,43486.6,COD
24,CH,10892755.0,4706762.3,CHE
25,CI,236551.6,504095.8,CIV
26,CL,148584345.07,87422437.69,CHL
27,CM,20688.0,43380.72,CMR
28,CN,34216012.68,49565359.69,CHN
29,CO,363508.99,342684.19,COL
30,CR,184068.96,399935.86,CRI
31,CU,14221717.93,3090585.44,CUB
32,CY,3925768.42,2400648.4,CYP
33,CZ,120840756.76,113108897.56,CZE
34,DE,407653431.57,281146072.69,DEU
35,DJ,237175.58,293277.6,DJI
36,DK,11563595.6,2876007.91,DNK
37,DO,5989108.38,1103604.72,DOM
38,EC,340.02,51.2,ECU
39,EE,20579660.82,19397849.31,EST
40,EG,1317402.98,187866.97,EGY
41,ES,468939090.67,459747132.9,ESP
42,ET,1287025.26,718981.23,ETH
43,FI,233757494.05,174147209.55,FIN
44,FR,1403890478.27,346067907.84,FRA
45,GB,1149485695.23,294109579.53,GBR
46,GD,28266.17,5317.39,GRD
47,GE,294267970.31,137786931.55,GEO
48,GF,15991.98,1534.08,GUF
49,GG,255.96,47.52,GGY
50,GH,1911760.6,2983578.56,GHA
51,GP,97532.13,8862.5,GLP
52,GQ,8875.69,19306.56,GNQ
53,GR,24055451.77,7143873.22,GRC
54,GT,4261240.62,406910.85,GTM
55,GY,2560784.63,374758.87,GUY
56,HK,126004.89,137387.5,HKG
57,HR,554247.63,198812.29,HRV
58,HU,10302289.19,8496319.8,HUN
59,ID,803.05,157.49,IDN
60,IE,261302896.52,55208587.79,IRL
61,IL,20336704.74,15803639.34,ISR
62,IN,1172050.41,849645.46,IND
63,IQ,1400203.84,1922850.64,IRQ
