Code,Name,year2013im,year2014im,year2015im,year2016im,year2013ex,year2014ex,year2015ex,year2016ex
AD,Республика Адыгея,0.0,110.0,469.4,0.0,0.0,0.0,0.0,0.0
BA,Республика Башкортостан,0.0,30438.87,0.0,0.0,0.0,0.0,0.0,0.0
BEL,Белгородская область,6852.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRY,Брянская область,1821.76,0.0,960.99,1738.88,0.0,0.0,0.0,0.0
CE,Чеченская республика,333270.69,76899.17,32461.69,1412.8,0.0,0.0,0.0,0.0
CHE,Челябинская область,0.0,0.0,3562.37,0.0,0.0,0.0,0.0,0.0
CR,Республика Крым,0.0,88953.4,60507.07,8146.07,0.0,0.0,0.0,0.0
CU,Чувашская республика,21324.84,23450.47,24420.94,0.0,0.0,0.0,0.0,0.0
DA,Республика Дагестан,55724.64,25855.28,0.0,0.0,0.0,0.0,0.0,0.0
IN,Республика Ингушетия,1689.28,877.75,300.0,0.0,0.0,0.0,0.0,0.0
IVA,Ивановская область,12486.9,132470.59,46820.25,0.0,0.0,0.0,0.0,0.0
KDA,Краснодарский край,2453125.54,811648.84,396008.5,109625.84,157.0,0.0,0.0,0.0
KGD,Калининградская область,360948.48,456415.36,269096.78,48731.5,0.0,3013.78,0.0,0.0
KHA,Хабаровский край,0.0,0.0,3888.76,0.0,0.0,0.0,0.0,0.0
KIR,Кировская область,53094.0,41615.91,2350.0,0.0,0.0,0.0,0.0,0.0
KLU,Калужская область,6943.91,0.0,2906.47,0.0,0.0,0.0,0.0,0.0
KOS,Костромская область,0.0,0.0,0.0,0.0,0.0,0.0,956.29,0.0
LEN,Ленинградская область,0.0,569.5,0.0,0.0,0.0,0.0,0.0,0.0
ME,Республика Марий Эл,0.0,5522.61,0.0,0.0,0.0,0.0,0.0,0.0
MOS,Московская область,768782.21,460895.47,251638.76,2805.76,0.0,0.0,0.0,0.0
MOW,Москва,8023338.44,5853141.4,3703719.3,41614.94,9338.07,21056.04,11813.43,0.0
NIZ,Нижегородская область,52050.54,278.78,0.0,0.0,0.0,0.0,0.0,0.0
ORE,Оренбургская область,0.0,0.0,22132.77,0.0,0.0,0.0,0.0,0.0
ORL,Орловская область,31.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSK,Псковская область,22634.7,23041.28,16775.92,0.0,0.0,0.0,0.0,0.0
ROS,Ростовская область,1038999.96,615497.42,95740.22,0.0,42228.2,0.0,15576.77,0.0
RYA,Рязанская область,0.0,1784.83,0.0,0.0,432840.79,86024.71,0.0,0.0
SAM,Самарская область,929032.31,49177.55,17488.26,0.0,0.0,0.0,0.0,0.0
SAR,Саратовская область,107542.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEV,Севастополь,0.0,3938789.62,996.2,0.0,0.0,0.0,753.29,1782.51
SMO,Смоленская область,35087.46,16240.54,6791.47,0.0,0.0,214.92,0.0,0.0
SPB,Санкт-Петербург,1021655.61,735643.64,487144.07,4796.57,0.0,2705.08,19.37,0.0
STA,Ставропольский край,4680.35,31730.68,46772.74,107033.77,0.0,0.0,0.0,0.0
SVE,Свердловская область,3104.49,12401.2,0.0,4701.52,2692.54,0.0,1146.31,0.0
TA,Республика Татарстан,984330.46,564105.72,21386.35,96671.66,0.0,0.0,0.0,0.0
TUL,Тульская область,0.0,1205.51,0.0,0.0,0.0,0.0,0.0,0.0
TVE,Тверская область,85899.64,20988.68,7340.82,0.0,0.0,0.0,0.0,0.0
TYU,Тюменская область,75070.09,145206.0,2014.16,30.84,0.0,0.0,0.0,0.0
VGG,Волгоградская область,85772.64,41713.05,104529.2,22700.16,0.0,0.0,0.0,0.0
VLA,Владимирская область,308432.01,1154983.7,420557.37,64208.04,5667.38,1337.4,0.0,0.0
VOR,Воронежская область,13907.91,0.0,59310.09,0.0,0.0,0.0,0.0,0.0
